So Bao Danh,Toan,Ngu Van,Ngoai Ngu,Vat Ly,Hoa Hoc,Sinh Hoc,KHTN,Lich Su,Dia Ly,GDCD,KHXH,So Mon Thi
3000148,7.0,7.5,3.2,-1.0,-1.0,-1.0,-1.0,3.0,6.5,8.5,6.0,6
3000149,7.8,8.25,8.4,-1.0,-1.0,-1.0,-1.0,6.75,7.75,8.75,7.75,6
3000150,7.8,6.5,8.4,6.5,8.0,4.0,6.17,-1.0,-1.0,-1.0,-1.0,6
3000151,6.4,8.0,4.8,-1.0,-1.0,-1.0,-1.0,6.5,6.5,9.5,7.5,6
3000152,6.8,8.0,3.8,-1.0,-1.0,-1.0,-1.0,6.25,7.25,8.75,7.42,6
3000153,4.6,6.5,4.0,-1.0,-1.0,-1.0,-1.0,3.25,6.0,8.0,5.75,6
3000154,5.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.75,5.0,-1.0,-1.0,4
3000155,7.2,5.25,5.0,6.25,6.75,4.75,5.92,-1.0,-1.0,-1.0,-1.0,6
3000156,3.8,3.25,-1.0,-1.0,-1.0,-1.0,-1.0,2.75,6.0,-1.0,-1.0,4
3000157,7.4,6.5,4.8,8.0,6.25,3.5,5.92,-1.0,-1.0,-1.0,-1.0,6
3000159,9.4,7.25,8.4,7.75,8.5,6.0,7.42,-1.0,-1.0,-1.0,-1.0,6
3000160,8.2,5.25,2.6,5.5,6.25,3.75,5.17,-1.0,-1.0,-1.0,-1.0,6
3000161,8.2,5.5,3.8,7.75,8.25,4.5,6.83,-1.0,-1.0,-1.0,-1.0,6
3000162,6.8,7.25,7.0,-1.0,-1.0,-1.0,-1.0,3.0,6.0,8.0,5.67,6
3000163,6.4,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.25,6.5,-1.0,-1.0,4
3000164,5.8,6.25,-1.0,-1.0,-1.0,-1.0,-1.0,4.5,6.5,-1.0,-1.0,4
3000165,4.6,6.0,3.6,-1.0,-1.0,-1.0,-1.0,4.5,7.25,8.5,6.75,6
3000166,8.0,4.75,4.2,6.75,4.75,3.25,4.92,-1.0,-1.0,-1.0,-1.0,6
3000167,6.4,7.0,5.6,-1.0,-1.0,-1.0,-1.0,2.5,6.0,9.0,5.83,6
3000168,6.8,7.0,7.0,-1.0,-1.0,-1.0,-1.0,4.75,6.5,8.5,6.58,6
3000169,5.0,5.5,6.4,3.5,6.25,4.75,4.83,-1.0,-1.0,-1.0,-1.0,6
3000170,6.8,6.5,6.6,-1.0,-1.0,-1.0,-1.0,8.0,7.5,8.5,8.0,6
3000171,8.8,8.25,9.0,-1.0,-1.0,-1.0,-1.0,7.25,8.5,9.25,8.33,6
3000172,5.8,6.5,3.0,-1.0,-1.0,-1.0,-1.0,4.0,4.5,7.25,5.25,6
3000173,6.4,7.5,3.6,-1.0,-1.0,-1.0,-1.0,5.25,7.0,8.25,6.83,6
3000174,6.8,5.75,4.6,-1.0,-1.0,-1.0,-1.0,3.5,6.25,9.0,6.25,6
3000175,8.8,-1.0,-1.0,-1.0,8.25,7.75,-1.0,-1.0,-1.0,-1.0,-1.0,3
3000176,5.8,7.0,4.6,-1.0,-1.0,-1.0,-1.0,6.0,7.5,9.5,7.67,6
3000177,4.6,3.25,-1.0,-1.0,-1.0,-1.0,-1.0,3.25,4.5,-1.0,-1.0,4
3000178,6.4,6.5,6.8,-1.0,-1.0,-1.0,-1.0,6.25,6.25,10.0,7.5,6
3000179,7.2,7.0,6.8,-1.0,-1.0,-1.0,-1.0,5.25,6.5,8.5,6.75,6
3000180,6.8,4.5,-1.0,-1.0,-1.0,-1.0,-1.0,3.25,7.0,-1.0,-1.0,4
